CORRECTNESS,RV_RETURN_VALUE_IGNORED,org/apache/hadoop/hbase/ipc/PhoenixIndexRpcSchedulerTest.java,testIndexPriorityWritesToIndexHandler,52-52,[        queue.poll(20, TimeUnit.SECONDS);],,testIndexPriorityWritesToIndexHandler,58-58,[        queue.poll(20, TimeUnit.SECONDS);],,
MALICIOUS_CODE,EI_EXPOSE_REP2,org/apache/hadoop/hbase/regionserver/IndexHalfStoreFileReader.java,<init>,114-114,[        this.viewConstants = viewConstants;],,
MALICIOUS_CODE,EI_EXPOSE_REP2,org/apache/hadoop/hbase/regionserver/IndexHalfStoreFileReader.java,<init>,88-88,[        this.viewConstants = viewConstants;],,
STYLE,PZLA_PREFER_ZERO_LENGTH_ARRAYS,org/apache/hadoop/hbase/regionserver/IndexHalfStoreFileReader.java,midkey,446-446,[        return null;],,
STYLE,NP_LOAD_OF_KNOWN_NULL_VALUE,org/apache/hadoop/hbase/regionserver/IndexHalfStoreFileReaderGenerator.java,preStoreFileReaderOpen,96-96,[                if (result == null || result.isEmpty()) return reader;],,preStoreFileReaderOpen,117-117,[                if(indexMaintainers.isEmpty()) return reader;],,
STYLE,RCN_REDUNDANT_NULLCHECK_OF_NONNULL_VALUE,org/apache/hadoop/hbase/regionserver/IndexHalfStoreFileReaderGenerator.java,preStoreFileReaderOpen,88-88,[            if(scvf != null) scan.setFilter(scvf);],,
MALICIOUS_CODE,EI_EXPOSE_REP2,org/apache/hadoop/hbase/regionserver/IndexSplitTransaction.java,<init>,160-160,[    this.splitrow = splitrow;],,
STYLE,RCN_REDUNDANT_NULLCHECK_OF_NONNULL_VALUE,org/apache/hadoop/hbase/regionserver/IndexSplitTransaction.java,createDaughters,288-288,[      if (metaEntries == null || metaEntries.isEmpty()) {],,
STYLE,REC_CATCH_EXCEPTION,org/apache/hadoop/hbase/regionserver/IndexSplitTransaction.java,getZKNode,548-548,[    } catch (Exception e) {],,
STYLE,REC_CATCH_EXCEPTION,org/apache/hadoop/hbase/regionserver/IndexSplitTransaction.java,transitionZKNode,469-469,[      } catch (Exception e) {],,
STYLE,RCN_REDUNDANT_NULLCHECK_OF_NONNULL_VALUE,org/apache/hadoop/hbase/regionserver/LocalIndexSplitter.java,preRollBackSplit,172-172,[            if (st != null) {],,
PERFORMANCE,SIC_INNER_SHOULD_BE_STATIC,org/apache/hadoop/hbase/regionserver/wal/IndexedWALEditCodec.java,,113-136,[    public CompressedIndexKeyValueDecoder(InputStream is, Decoder compressedDecoder) {,       super(is);,       this.decoder = compressedDecoder;,     }, ,     @Override,     protected Cell parseCell() throws IOException {,       // reader the marker,       int marker = this.in.read();,       if (marker < 0) {,         throw new EOFException(,             "Unexepcted end of stream found while reading next (Indexed) KeyValue");,       }, ,       // do the normal thing, if its a regular kv,       if (marker == REGULAR_KEY_VALUE_MARKER) {,         if (!this.decoder.advance()) {,           throw new IOException("Could not read next key-value from generic KeyValue Decoder!");,         },         return this.decoder.current();,       }, ,       // its an indexedKeyValue, so parse it out specially,       return KeyValueCodec.readKeyValue((DataInput) this.in);],,
PERFORMANCE,SIC_INNER_SHOULD_BE_STATIC,org/apache/hadoop/hbase/regionserver/wal/IndexedWALEditCodec.java,,85-98,[  public class IndexKeyValueDecoder extends BaseDecoder {, ,     /**,      * Create a Decoder on the given input stream with the given Decoder to parse,      * generic {@link KeyValue}s.,      * @param is stream to read from,      */,     public IndexKeyValueDecoder(InputStream is){,       super(is);,     }, ,     @Override,     protected KeyValue parseCell() throws IOException{,       return KeyValueCodec.readKeyValue((DataInput) this.in);],,
BAD_PRACTICE,NM_CONFUSING,org/apache/hadoop/hbase/regionserver/wal/WALReplayWithIndexWritesAndCompressedWALIT.java,setUp,95-103,[    setupCluster();,     this.conf = HBaseConfiguration.create(UTIL.getConfiguration());,     this.fs = UTIL.getDFSCluster().getFileSystem();,     this.hbaseRootDir = new Path(this.conf.get(HConstants.HBASE_DIR));,     this.oldLogDir = new Path(this.hbaseRootDir, HConstants.HREGION_OLDLOGDIR_NAME);,     this.logDir = new Path(this.hbaseRootDir, HConstants.HREGION_LOGDIR_NAME);,     // reset the log reader to ensure we pull the one from this config,     HLogFactory.resetLogReaderClass();,   }],,setup,44-56,[		props = new Properties();, 		spoolDir =  Files.createTempDir();, 		props.put(QueryServices.SPOOL_DIRECTORY, spoolDir.getPath());,         props.setProperty(QueryServices.SPOOL_THRESHOLD_BYTES_ATTRIB, Integer.toString(1));, 		conn = DriverManager.getConnection(getUrl(), props);, 		Statement stmt = conn.createStatement();, 		stmt.execute("CREATE TABLE test (ID varchar NOT NULL PRIMARY KEY) SPLIT ON ('EA','EZ')");, 		stmt.execute("UPSERT INTO test VALUES ('AA')");, 		stmt.execute("UPSERT INTO test VALUES ('EB')");    , 		stmt.execute("UPSERT INTO test VALUES ('FA')");    , 		stmt.close();, 		conn.commit();, 	}],,
STYLE,UWF_FIELD_NOT_INITIALIZED_IN_CONSTRUCTOR,org/apache/hadoop/hbase/regionserver/wal/WALReplayWithIndexWritesAndCompressedWALIT.java,deleteDir,152-152,[    if (this.fs.exists(p)) {],,
STYLE,DLS_DEAD_LOCAL_STORE,org/apache/phoenix/arithmetic/ArithmeticOperationTest.java,testDecimalDivision,300-300,[            evaluated = e.evaluate(null, ptr);],,
MT_CORRECTNESS,DC_DOUBLECHECK,org/apache/phoenix/cache/GlobalCache.java,getInstance,100-103,[        if (result == null) {,             synchronized(GlobalCache.class) {,                 result = INSTANCE;,                 if(result == null) {],,
MT_CORRECTNESS,DC_DOUBLECHECK,org/apache/phoenix/cache/GlobalCache.java,getMetaDataCache,71-74,[        if (result == null) {,             synchronized(this) {,                 result = metaDataCache;,                 if(result == null) {],,
MT_CORRECTNESS,IS2_INCONSISTENT_SYNC,org/apache/phoenix/cache/GlobalCache.java,,70-70,[        Cache<ImmutableBytesPtr,PTable> result = metaDataCache;],,,73-73,[                result = metaDataCache;],,,91-91,[                            .build();],,
PERFORMANCE,SIC_INNER_SHOULD_BE_STATIC_ANON,org/apache/phoenix/cache/GlobalCache.java,,85-88,[                            .weigher(new Weigher<ImmutableBytesPtr, PTable>() {,                                 @Override,                                 public int weigh(ImmutableBytesPtr key, PTable table) {,                                     return SizedUtil.IMMUTABLE_BYTES_PTR_SIZE + key.getLength() + table.getEstimatedSize();],,
