,F72,F25,F65,F68,F101,F104,F105,F3-NA,F3-String,F3-int,F15-NA,F15-public,F22,F116,F117,F120,F110,F123,F115,F77,F41,F126
0,0.39362695510077034,0.1492820945945946,0.012738853503184714,0.02743142144638404,0.06576302174681321,0.033526397113101826,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.0,0.2831271789238031,1.0,0.2831271789238031,0.3333333333333333,0.2542223342576254,0.0015621948838117556,0.0
1,0.39362695510077034,0.1492820945945946,0.012738853503184714,0.02743142144638404,0.12048086241041267,0.033526397113101826,0.5955056179775281,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,1.0,0.08333333333333331,1.0,0.3333333333333333,0.26071338542979583,0.0015621948838117556,0.0
2,0.2597074157653101,0.024704391891891893,0.05732484076433121,0.02743142144638404,0.1250393958347715,0.00777696492503161,0.7977528089887641,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.2,0.6300769844874908,0.3,0.6300769844874908,0.3333333333333333,0.08986639778169903,0.0015621948838117556,0.0
3,0.25169247529375144,0.01731418918918919,0.089171974522293,0.02743142144638404,0.0750801788152541,0.010008125310137126,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.6300769844874908,0.0,0.6300769844874908,0.3333333333333333,0.35656667506932194,0.0015621948838117556,0.0
4,0.46560578943272896,0.22761824324324326,0.03184713375796178,0.0399002493765586,0.10506926280792159,0.02720657165880274,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,1.0,0.0,1.0,0.3333333333333333,0.37730022687169146,0.1437219293106815,0.0
5,0.24145980857520816,0.0071790540540540545,0.06050955414012739,0.0399002493765586,0.5424618710159587,0.0327466874293813,0.747191011235955,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,1.0,0.0,1.0,0.3333333333333333,0.014242500630199143,0.1437219293106815,0.0
6,0.2914948253054237,0.06566722972972973,0.02229299363057325,0.054862842892768084,0.05240385105609681,0.005925679305765023,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.34615384615384615,0.6300769844874908,0.34615384615384615,0.6300769844874908,0.0,0.2316612049407613,0.01445030267525874,0.0
7,0.2914948253054237,0.06566722972972973,0.02229299363057325,0.054862842892768084,0.1152890733368744,0.005925679305765023,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.2,0.6300769844874908,0.3,0.6300769844874908,0.0,0.11513738341315856,0.01445030267525874,0.0
8,0.2914948253054237,0.06566722972972973,0.02229299363057325,0.054862842892768084,0.10726117262017938,0.005925679305765023,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.08333333333333331,1.0,0.0,0.11513738341315856,0.01445030267525874,0.0
9,0.2914948253054237,0.06566722972972973,0.0031847133757961785,0.054862842892768084,0.08653367266047735,0.0315123158651536,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.26666666666666666,0.6300769844874908,0.26666666666666666,0.6300769844874908,0.3333333333333333,0.05224350894882783,0.01445030267525874,0.0
